source_file,title,company,industry,clouds_implemented,description,outcomes,links
4640287.md,Deployment of Digital Team for New Social Security Platform,Scottish Government,"Public Sector, Government",,"IBM Interactive (iX) UK practice deployed a multi-skilled digital team to the Scottish Government. The team comprised interaction designers, content designers and front-end developers who were responsible for designing, creating and launching a new Social Security platform. The project delivered eight new benefits‚Äîincluding Funeral Support Payments‚Äîwithin 12 months, targeting user groups similar to those served by the Department for Work and Pensions (DWP) programme.","[Eight new benefits launched in 12 months, Improved digital service delivery for social security beneficiaries]",[https://ibmgbs.loopio.com/library?entry=4640287]
4640289.md,Transition of 345 Legacy Applications for a Major International Shipping Company,Major International Shipping Company,"Shipping, Logistics",,"For a major international shipping company, we transitioned 345 legacy applications from six incumbent providers, including front‚ end freight booking and customer self‚ service applications and 22 of the organisations most critical services. We led and executed a comprehensive plan with incumbent supplier, client and IBM teams following our rigorous Application Services Transition Methodology, covering all phases of knowledge acquisition and service transition. We worked to highly demanding timescales, taking over the first 249 applications in 4 months then adopting an iterative and agile approach to transition individual services from build‚ to‚ run in 6‚Äì8 weeks each, with collaborative sprints covering knowledge transfer, guided and assisted‚ perform.","[Completed transition of 345 legacy applications within tight timelines, Reduced dependency on incumbent suppliers, Improved service reliability through structured knowledge acquisition]",[https://ibmgbs.loopio.com/library?entry=4640289]
4640290.md,Product Management for Energy Client,Major Energy Client (unnamed),"Energy, Electric Vehicle Charging Services",,"We provided Product Managers and Service Designers to establish a new product-driven organisation providing electric vehicle charging services across Europe. We helped establish the product vision, OKRs and data‚ centric ways of working. We set up virtual, field and in‚ office testing, continuously defined and validated user journeys based on customer feedback, prioritised the development backlog and created a consistent customer experience minimising interactions and data input. We established this team and launched an application within 4 months.","[Established product vision and OKRs, Implemented data‚ centric ways of working, Validated user journeys through testing, Prioritised development backlog, Created consistent customer experience with minimal interactions, Launched application in 4 months]",[https://ibmgbs.loopio.com/library?entry=4640290]
4640292.md,Designing a New Scottish Social Security Benefits Platform,Scottish Government (Social Security Agency),"Public Sector, Social Services",,"User researchers from a 250+ UK team conducted extensive user‚ engagement research‚Äîincluding one‚ to‚ one interviews, focus groups and usability tests‚Äîto design a brand new Scottish social security benefits platform. The research was sensitive to vulnerable users, support charities, accessibility needs, limited digital skills and varied demographics. Insights were synthesized into actionable findings, informing front‚ end prototypes and content that were co‚ designed with stakeholders. Usability testing feedback drove iterative improvements, resulting in a multi‚ channel service that met government usability standards.","A multi‚ channel social security benefits platform that aligns with government usability standards, incorporates accessibility best practices, and is informed by real user insights from diverse populations.",[https://ibmgbs.loopio.com/library?entry=4640292]
4640294.md,IBM helped Scottish Government launch low income benefits,Scottish Government,"Public Sector, Government Services",,"IBM assisted the Scottish Government in launching a low‚ income benefit program by employing Agile Scrum methodologies. The team rapidly prototyped concepts and iterated based on diverse user research across more than 40 locations, using standard assets. They integrated the benefit application process with the existing ‚ÄòBaby Box‚Äô initiative, which includes midwife verification for registration. This integration enabled applications to be verified in seconds instead of weeks.","[Benefit program launched six months early, 90% uptake among target population, Average completion times under 5 minutes, Enhanced in‚ house agile delivery and continuous improvement capabilities]",[https://ibmgbs.loopio.com/library?entry=4640294]
4640295.md,PaaS based on Cloud Foundry and Kubernetes for a major UK bank,Unnamed UK Bank,"Financial Services, Banking","Cloud Foundry, Kubernetes, DevOps services, Databases, API Management, Application Runtimes","IBM built and delivered a PaaS platform based on Cloud Foundry and Kubernetes for a major UK bank. The platform provides an agile test and learning environment that allows developers‚Äîboth bank employees and partner organisations‚Äîto consume a variety of PaaS services (DevOps, databases, API management, application runtimes) in a dedicated, secure cloud. Initially supporting 5 projects with 100 developers, the ecosystem has grown to over 150 projects and more than 4,000 developers, enabling an ‚Äòidea‚ to‚ production‚Äô cycle of about three months instead of one year or longer.","[Expanded from 5 projects/100 developers to 150+ projects/4,000+ developers, Reduced development cycle time from one year+ to approximately three months]",[https://ibmgbs.loopio.com/library?entry=4640295]
4640297.md,Immigration and Asylum Biometrics Service Transition,UK Immigration and Asylum (Home Office),"Government, Public Sector",,"IBM transitioned the Immigration and Asylum Biometrics Service into service, a highly available IL5 system interfacing to 20 different systems across government. We rolled out and tested end user equipment at major UK ports & Home Office locations, migrated 120m identities, trained users, ensured operational readiness of all teams, planned communications and performed a detailed cutover across seven suppliers in three countries; and ensured operational readiness of IBM and external teams.","[Migrated 120 million identities, Ensured operational readiness for IBM and external teams, Implemented end‚ user equipment at major UK ports and Home Office locations, Coordinated communication and cutover across seven suppliers in three countries]",[https://ibmgbs.loopio.com/library?entry=4640297]
4640298.md,"Cloud security design and delivery (incl. logical network segregation, NSG, Azure firewall, anti-malware, DDoS)",UK Defence Contractor,"Defense, Aerospace",Azure,"A major UK defence contractor underwent a significant merger and acquisition process across Europe. IBM‚  Security Business Unit supported the customer by creating a digital transformation plan to migrate acquired companies into Azure. IBM delivered strategic planning, low‚ level designs, and full delivery of all Azure environments for 300 users, including security policies, SIEM, anti‚ virus/malware, PKI, networking, and security groups. The assessment of existing environments was completed in 60 days with deployment designs produced within 120 days.","[Migration of 300 users to Azure, Comprehensive security architecture implemented (NSG, firewall, anti‚ malware, SIEM, PKI), Accelerated digital transformation across multiple acquisitions]",[https://ibmgbs.loopio.com/library?entry=4640298]
4640299.md,RESTful API development with schema validation and OAuth using Azure AD,Home Office (UK Government),"Government, Public Sector, Law Enforcement","Azure AD, LEDS public cloud platform","The Home Office migrated the existing Police National Computer (PNC) onto the new LEDS platform. To support this migration, RESTful APIs were defined in Swagger and secured using OAuth to verify identity and obtain basic profile information in an interoperable, REST‚ like manner. The PNC had many integration points that needed exposure on the new platform to ensure successful migration and continued operation of critical national infrastructure services.","[Successful migration of the Police National Computer onto LEDS, Continued operation of critical national infrastructure services, LEDS became the first Home Office public cloud platform granted Authority to Operate with Official Sensitive data]",[https://ibmgbs.loopio.com/library?entry=4640299]
4640300.md,Whole Farm Approach,"Defra (UK Department for Environment, Food & Rural Affairs)","Agriculture, Farming",,"IBM delivered design thinking, UX and accessibility services to Defra‚  Whole Farm Approach web application. The project involved updating the service to meet Level AA of the W3C WCAG 2.0/2.1 standard, evaluating each requirement, determining how it should be met (within the application, business‚ owned content or a combination), assessing compliance and identifying limitations. IBM‚  solution was independently reviewed and validated for accessibility compliance.",Compliance with WCAG 2.0/2.1 Level AA standards; independent validation of accessibility requirements met; improved user experience for farmers accessing policy information and submitting assessments and surveys.,[https://ibmgbs.loopio.com/library?entry=4640300]
4640301.md,Digital Transformation of the BasicDBSCheck Service,Disclosure and Barring Service (DBS),"Government, Public Sector",Cloud native services,"IBM delivered a digital transformation for the DBS‚  new ‚ÄòBasicDBSCheck‚Äô service, working with the DBS team using an agile approach. The solution was built entirely on cloud‚ native services that were configured to be resilient, highly available and auto‚ scaling.","[25% increase in user satisfaction, 3√ó increase in number of applications processed, 40% reduction in operational and hosting costs]",[https://ibmgbs.loopio.com/library?entry=4640301]
4640302.md,IBM & Petronas Azure Vehicle Tracking Solution,Petronas (global oil and gas company),Oil & Gas,"Azure API Management (APIM), Azure App Service Environment (ASE), .NET/C# Functions, Azure SQL Database, Azure Cosmos DB, IoT Hub","IBM partnered with Petronas to deliver an innovative Azure-based solution that provides a vehicle tracking web application utilizing IoT sensors, geospatial and mapping components. The real‚ time data from the IoT sensors feeds a dynamic heat map showing the number of people and vehicles present in any area, enabling faster emergency response. The architecture incorporates multiple Azure services (APIM, ASE, .NET/C# Functions, SQL, Cosmos DB) along with Java, HTML, and other technologies to store and process data.","[Improved worker productivity, Reduced idle time, Significantly enhanced safety when working with highly combustible materials]",[https://ibmgbs.loopio.com/library?entry=4640302]
4640303.md,Bespoke business workflow application delivery using LogicApps or equivalent cloud-native service,Insolvency Service (UK),"Public Sector, Government Services","Azure Service Bus, Azure Logic Apps","IBM partnered with the Insolvency Service to replace its legacy case management system with a modern business workflow application for managing redundancy payments. In Phase 1, IBM integrated seven key business systems‚Äîincluding two digital portals, finance, document management and production applications, and a calculation engine‚Äîusing Azure Service Bus for asynchronous integration and Azure Logic Apps for synchronous point‚ to‚ point integration and orchestration. The platform was designed to allow rapid changes as the Insolvency Service‚  business needs evolve.","[Modernized workflow application, Improved integration across multiple legacy systems, Enhanced flexibility for future business changes]",[https://ibmgbs.loopio.com/library?entry=4640303]
4640304.md,"Low‚ code application delivery using Microsoft Power Platform (incl. PowerBI, PowerApps)",Pepsico,"Food & Beverage, Consumer Goods","Microsoft Power Apps, Power Automate, Power BI, SharePoint Online, Microsoft Teams","Pepsico selected IBM to design, build and deliver a number of apps using the Microsoft Power Platform. IBM rapidly developed web apps with PowerApps, used SharePoint Online as the backend data store, orchestrated workflows with Power Automate, and visualized data with Power BI. The PowerApps were integrated directly into Microsoft Teams for easy access and collaboration.","[Significantly reduced development timelines, Faster time to value, Reduced common risks and failures]",[https://ibmgbs.loopio.com/library?entry=4640304]
4640306.md,BP Service Incubator,BP,"Oil & Gas, Energy",,"IBM designed, set up and currently supports a ‚Äòservice incubator‚Äô at BP to drive innovation alongside regular delivery commitments. Joint BP/IBM teams rapidly assess and develop ideas, creating a customer feedback portal that is now live across Europe. The incubator has evaluated over 140 service concepts and supports other incubators within BP, while an agile support team delivers continuous improvement services with a backlog of activities and 24/7 maintenance.","[Over 140 service concepts evaluated, Customer feedback portal live across Europe, Strengthened relationships with partners, Efficient innovation process]",[https://ibmgbs.loopio.com/library?entry=4640306]
4640307.md,"Logging, System Monitoring and Security Management Services for Multinational Financial Services Provider",Multinational Financial Services Provider,Financial Services,"IBM NetCool Operations Insight, IBM QRadar, Security Information and Event Management application","At a multinational financial services provider, IBM has been delivering logging, system monitoring and security management services for several years. We monitor 1) system events and analytics, using products such as IBM NetCool Operations Insight; 2) security monitoring of infrastructure through a Security Information and Event Management application. Other clients use the similar Gartner ‚ÄòLeaders‚Äô Quadrant IBM QRadar technology. IBM also provided high-level to granular tracking of user activity through third-party tooling.","IBM met agreed SLAs/response time metrics and our management of these services enabled user identity management, access control and reduced maintenance costs.",[https://ibmgbs.loopio.com/library?entry=4640307]
4640308.md,Promontory performed a Money Laundering Investigation at a European Bank,European Bank (unnamed),"Banking, Financial Services",,"Promontory conducted an internal investigation into suspicious transactions in non-resident accounts over eight years, identifying deficiencies that allowed money laundering to flourish at a branch with operations across Northern Europe. The research included extensive search and review of bank documents and interviews with bank personnel, culminating in a root‚ cause analysis.","[Identified deficiencies enabling money laundering, Root‚ cause analysis produced]",[https://ibmgbs.loopio.com/library?entry=4640308]
4640309.md,Delivery of solutions using the GDS Design System ‚Äì Get Your State Pension online portal,Department for Work and Pensions (DWP),"Public sector, Government services",,"IBM partnered with DWP to develop a public‚ facing ‚ÄòGet Your State Pension‚Äô online portal. Using IBM‚  Digital Reinvention methodology, the joint team incorporated assurance, governance, agile practices, regular architectural reviews and GDS assessments throughout development. The project also leveraged OGC Gateway principles and built shadow GDS assessments into sprint cycles.","[Service passed GDS Alpha and Beta assessments on first attempt, Enabled DWP to secure funding for subsequent phases, Portal is now live on GOV.uk]",[https://ibmgbs.loopio.com/library?entry=4640309]
4640310.md,IBM helped the Scottish Government establish a new Social Security Agency,Scottish Government,"Public sector, Social Services","Cloud-based infrastructure, Case management system, Digital portal","IBM deployed an agile, user‚ centric approach to design, test and launch a cloud‚ based infrastructure, case management system, and digital portal for the new Scottish Social Security Agency. Multiple scrum teams worked in parallel, with IBM scrum masters managing significant backlogs and ensuring quality through automated deployment and testing.","[Launched seven new benefits within just over two years, Maintained high quality standards during rapid delivery]",[https://ibmgbs.loopio.com/library?entry=4640310]
4640311.md,Transforming the DWP‚  Customer Information System (CIS),Department for Work and Pensions (DWP),"Government, Public Sector",Crown Hosting environment,"The project involved managing a complex portfolio of over 50 applications and delivering more than 1,200 interdependent change projects annually. The focus was on transforming the DWP‚  Customer Information System (CIS), which stores over 103 million citizen records and is used by approximately 80,000 users across DWP and other government departments. Key activities included leading a multi‚ supplier portfolio to deliver a new front‚ end application, upgrading the software stack across the core system, and migrating the entire CIS into a new Crown Hosting environment while ensuring no impact on the 250 systems that depend on it.","[Successful migration of CIS to Crown Hosting with zero downtime for dependent systems, Modernized front‚ end application and upgraded software stack, Enhanced scalability and reliability for a critical government data platform]",[https://ibmgbs.loopio.com/library?entry=4640311]
4640312.md,IBM Responds to COVID‚ 19 Pandemic ‚Äì Rapid Scaling of Delivery and Security Operations for NHS Digital,NHS Digital (National Health Service),"Healthcare, Public Sector",Security Operations,"Within seven days of the COVID‚ 19 outbreak, IBM partnered with Gold Command to rapidly expand its delivery and management capacity. A multidisciplinary team with expertise in NHS systems architecture, security, and service management was deployed to create a technical blueprint for the Nightingale hospitals. This enabled the central IT organisation to quickly assess and validate the technical readiness of ten hospitals, ensuring robust solutions were delivered. Concurrently, IBM extended its Security Operations services for NHS Digital, providing 24/7 monitoring and alerting with additional resources to support extended hours without impacting existing critical services.","[Rapid deployment of a technical blueprint for 10 Nightingale hospitals, Swift assessment and validation of technical readiness, Enhanced security posture through 24/7 monitoring and alerting, Support for extended operational hours without compromising existing services]",[https://ibmgbs.loopio.com/library?entry=4640312]
4640313.md,IBM Engaged with a Secure Government Department to Transform Information Management,Unnamed Secure Government Department,"Public Sector, Government",Electronic Document and Records Management System (EDRMS),"IBM partnered with a secure government department to overhaul its information management practices by deploying a new digital Electronic Document and Records Management System (EDRMS). The project involved upskilling 4,500 users through e‚ learning modules, face‚ to‚ face training, drop‚ in sessions, and floor‚ walking initiatives. This comprehensive change methodology ensured that staff were equipped to operate the new system and adopt updated information management workflows.","[Smoothest transition to the new EDRMS reported by the client SRO, Successful upskilling of 4,500 users, Enhanced adoption of technology and improved information management practices]",[https://ibmgbs.loopio.com/library?entry=4640313]
4640316.md,DWP Searchlight Project,Department for Work and Pensions (DWP),"Public Sector, Government",,"IBM implemented the DWP Searchlight project, modernising the front end of the CIS solution; a mission‚ critical application accessed 90,000 times daily with access to 100m records. As part of our work on Searchlight at DWP, we created blended scrum teams of IBM and DWP team members to support knowledge transfer and up‚ skilling. Each person from DWP was given a mentor from IBM. We delivered training on User Research, Agile, UX Design and key elements of the architecture.","The DWP team members were able to successfully support the system and continue delivering new features without IBM support, ensuring continuity and reducing dependency on external consultants.",[https://ibmgbs.loopio.com/library?entry=4640316]
4640317.md,Digital Automation for a large UK police force,UK Police Force (unnamed),"Public Sector, Law Enforcement",,"IBM is delivering Digital Automation for a large UK police force to tackle backlogs of repetitive work, freeing up staff for higher value activities. IBM uses a bottom-up approach with process Subject Matter Experts to brainstorm the target state for their processes and the alternative digital automation options to meet this end state, considering factors including through-life affordability and speed of implementation. Processes are then adapted, improved, and digitally automated where it is most appropriate.","[70 FTE savings,  £5M cost savings]",[https://ibmgbs.loopio.com/library?entry=4640317]
4640318.md,OSIX: Digitised Network for MOD,UK Ministry of Defence (MOD),"Defense, Intelligence",OSIX,"IBM created OSIX to deliver a digitised network of academic, industry and MOD expert data, supplying seventy+ digital sources via a single solution. The platform combined trusted private sector information with MOD data to improve strategic, operational and tactical level intelligence. OSIX reduced the production cycle and quality of critical intelligence production/decision making from weeks to hours while enhancing quality and insight. MOD now has access to a unique global network of SMEs and data from academia, private sector and MOD delivering agile/flexible digital provision.","[Reduced production cycle from weeks to hours, Improved quality and insight in intelligence production/decision making, Significant value added to MOD‚  core capability within 7 months]",[https://ibmgbs.loopio.com/library?entry=4640318]
4640319.md,IBM works closely with Defence Business Services,Defence Business Services (DBS),"Defense, Government",,"IBM has partnered with Defence Business Services for 20 years to support and implement changes across systems, data, architecture, and content for the UK Ministry of Defence. The collaboration includes live support, design, implementation, and ongoing maintenance of corporate services solutions used by MOD users. IBM also developed a Corporate Business Intelligence solution featuring a Data Warehouse that integrates multiple data sources for MOD stakeholders.",[],[https://ibmgbs.loopio.com/library?entry=4640319]
4640332.md,Searchlight handover to DWP,Department for Work and Pensions (DWP),"Public Sector, Government Services",,"With DWP we handed over Searchlight, a service for 90,000 DWP users to manage 65m+ National Insurance records. We used ticket information metrics and recorded the skills needed to support each application, then assessed the skills and knowledge in the team to give a holistic view of upcoming support workload and how it would be fulfilled. Through joint Scrum teams and a 1:1 IBM/DWP mentoring model, we created an environment for developing less-experienced staff. This collaborative upskilling approach was extremely successful, enabling us to transition responsibilities.","[Successful transition of product and service delivery to DWP, Award-winning service achieved by DWP]",[https://ibmgbs.loopio.com/library?entry=4640332]
4640333.md,First Scottish Social Security Benefit Products,Scottish Government,"Public Sector, Government Services",,"IBM partnered with the Scottish Government to deliver a digital, data‚ driven transformation of social security benefits. The project involved extensive user research and engagement‚Äîover 1,400 citizens participated in 483 sessions across 40 locations‚Äîto design end‚ to‚ end services. IBM‚  delivery team planned and executed the initiative, resulting in eight new high‚ quality benefit services that replaced legacy processes.","[Implemented eight new digital benefit services, Improved benefit experience for approximately 100,000 households, Achieved an average customer satisfaction score of over 97%]",[https://ibmgbs.loopio.com/library?entry=4640333]
4640336.md,Collaboration and alignment - Demonstrable experience of working as a joint team with commissioning organisations and delivering as part of a blended team across the host and customer organisations,DBS Bank,"Financial Services, Banking",,"For DBS, we worked as a joint blended team to deliver and support digital services. Our work began by helping DBS articulate the problem being solved, why it was important, and how users had been involved in the process. A Government Digital Service (GDS) assessment, recognised as an exemplar, reflected our collaboration on delivering the Basic Check service. The assessment highlighted that ""The team clearly has established strong agile ways of working incorporating a flat co‚ located structure with a balance of permanent civil servants and contractors.""","[Received 2020 Institute of Customer Service Award for ‚ÄòBest Use of Customer Insight‚Äô, Established strong agile practices within a blended team structure, Successfully delivered the Basic Check digital service]",[https://ibmgbs.loopio.com/library?entry=4640336]
4640338.md,Low‚ Income Benefit Service,Scottish Government,"Public Sector, Government Services",,"During the Discovery phase for the Low‚ Income Benefit Service, we applied GDS Service Standards and iterative agile techniques, including GDS‚ aligned Design Thinking. We developed User Journeys and Pain Points using tools such as Mural and Jira, baselining user needs through over 1,400 participants across 483 sessions in 40 locations. The project focused on understanding user needs, solving the whole problem, and creating a simple, inclusive service.",[Won the 2020 MCA Award for the Low‚ Income Benefit Service],[https://ibmgbs.loopio.com/library?entry=4640338]
4644227.md,Defra Whole Farm Approach (WFA) System Accessibility Upgrade,"Department of the Environment, Food and Rural Affairs (Defra)","Government, Agriculture, Public Sector",,"IBM updated Defra‚  Whole Farm Approach (WFA) system to meet Level AA WCAG 2.0 accessibility standards in its WFA 8 release. The project involved evaluating each WCAG requirement, determining how they could be satisfied within the application and business‚ owned content, assessing compliance levels, and documenting any limitations. IBM‚  solution was independently reviewed for adherence to accessibility standards.","[WFA system now meets Level AA WCAG 2.0 standards, Improved accessibility for farmers interacting with Defra services, Independent verification of compliance]",[https://ibmgbs.loopio.com/library?entry=4644227]
4644229.md,Food Standards Agency Service for Food Business Registrations,Food Standards Agency,"Government, Public Sector (Food Safety)",,"IBM built a service to create and manage food business registrations across England, Wales and Northern Ireland. User research was conducted in line with GDS Service Manual. UX designs and prototypes based on the research insights were created and tested through Discovery, Alpha and Beta phases for the new end-to-end accessible service. A React front end built with a node.js back end and a custom built npm package for validation built by the team accelerated the delivery of this highly successful and scalable service.",387 different paper processes from each Local Council were replaced and IBM received a net promoter score of 9.5/10 from the FSA.,[https://ibmgbs.loopio.com/library?entry=4644229]
4644230.md,DWP‚  ‚ÄòApply-for-a-Nino‚Äô project,Department for Work and Pensions (DWP),"Government, Public Sector",,"The team coordinated a large number of stakeholders across Digital/Operations/Policy and other government departments to deliver the DWP ‚ÄòApply-for-a-Nino‚Äô service within 8 weeks. They tailored communication from high-level walkthroughs to detailed technical reviews, created performance dashboards to monitor service performance, and used data-driven decisions to guide product direction.",[Reduced footfall into local offices by 100%],[https://ibmgbs.loopio.com/library?entry=4644230]
4644234.md,IBM works with NHS Test and Trace,NHS Test and Trace,"Healthcare, Public Health",,"In 2020-2021 IBM collaborated with NHS Test and Trace to deliver national agent and public-facing services for contact tracing, from conception to deployment. The team designed solutions that met stringent policy and business requirements while balancing user needs gathered through research. Service, UX and content designers and user researchers worked with policymakers, clinical experts, product owners and technical stakeholders to address user needs and align with business objectives. Working with epidemiologists, the solution was designed to reduce cognitive burden on the public, reduce manual effort for business users, and increase data quality for studies.","[Reduced cognitive burden on the public, Reduced manual effort for business users, Increased data quality for studies]",[https://ibmgbs.loopio.com/library?entry=4644234]
4644238.md,Digital Basic Disclosure Service for the Disclosure & Barring Service,Disclosure & Barring Service (DBS),"Public sector, Government services","GOV.UK.Pay, GOV.UK.Verify, GOV.UK.Notify","In 2018 IBM partnered with the Disclosure & Barring Service to create a new digital service and products hosted on GOV.UK that enabled citizens to self‚ serve Basic disclosure applications online. The solution was built using an agile team, DevOps tooling, and UX design principles. It became the first service to integrate GOV.UK.Pay, GOV.UK.Verify, and GOV.UK.Notify services, achieving a GDS alpha assessment pass on the first attempt.","[First service to use GOV.UK.Pay, GOV.UK.Verify, and GOV.UK.Notify, GDS alpha assessment passed on first try, Received the Institute of Customer Service Award for Best Use of Customer Insight in 2020]",[https://ibmgbs.loopio.com/library?entry=4644238]
4644239.md,NHS DigiTrials Clinical Trials Service ‚Äì IBM‚  Role in Service Design,National Health Service (NHS),"Healthcare, Clinical Trials",,"IBM partnered with NHS Digital, Oxford University and Microsoft to develop the NHS DigiTrials Clinical Trials service. IBM was responsible for designing the DigiTrials Feasibility and Outcomes Services, conducting extensive user research and interactive service design with clinical trials units, commercial life‚ science companies, and a panel of patients/public to understand user needs. The resulting service framework has been applied to support major trials such as Oxford University‚  RECOVERY Trial (COVID‚ 19 drug efficacy) and the NHS Blood and Transplant Convalescent Plasma Trial.","[Demonstrated success by providing tailored feasibility and outcomes services for high‚ profile clinical trials, Enabled efficient trial design and data collection for COVID‚ 19 research, Improved collaboration between NHS, academia, industry and patients]",[https://ibmgbs.loopio.com/library?entry=4644239]
4644241.md,Experience of helping inexperienced delivery teams adopt user‚ centred practices and embed them into their agile workflow,Major Industrial Client (unnamed),Industrial,,"IBM was engaged by a major industrial client to transform its delivery model by embedding user‚ centered practices into an agile workflow. IBM supplied 27 agile coaches who brought end‚ to‚ end user‚ centered delivery experience, coaching teams and embedding agile values and practices from user research through to iterative product design and implementation. The coaches trained over 70 Product Owners, delivered 13 bootcamps, ran 176 training classes, and trained 2,675 people across 13 global regions, achieving an average NPS of 9/10. This effort led to the successful delivery of 35 MVPs, including a new ordering platform for distributors.","[Delivered 35 MVPs, New ordering platform for distributors, Trained 2,675 people across 13 regions, Average NPS of 9/10]",[https://ibmgbs.loopio.com/library?entry=4644241]
4644244.md,Home Office Immigration Platform Technologies Programme,UK Home Office,"Government Digital Transformation, Public Sector IT",,"IBM designed, developed and operated an award‚ winning platform for the Home Office Immigration Platform Technologies Programme. The solution provided DevOps tooling for automated infrastructure build and maintenance, enabling Agile@scale methodology across multiple projects and multi‚ disciplinary teams. IBM worked in blended agile teams with more than 10 different suppliers to deliver new digital services within a complex, multi‚ vendor environment.","[Awarded UK IT Industry Awards 2015, Consistently positive customer feedback on collaborative behaviours, Successful deployment of automated infrastructure and DevOps tooling across the programme]",[https://ibmgbs.loopio.com/library?entry=4644244]
4644245.md,Health Data Research (HDR) Gateway Portal,UK Health Data Research Alliance,"Healthcare, Health Data Research",,"IBM developed the Health Data Research (HDR) Gateway Portal to enable researchers and innovators to discover and request access to data sets in a secure and responsible manner. The portal was delivered using an Agile delivery approach by a team with expertise in both programme delivery and health data, providing structure, guidance, and support for the UK Health Data Research Alliance‚  digital delivery strategy. IBM also offered deep insights into how health data could be leveraged for new requirements, including assessing the impacts of COVID‚ 19 within healthcare settings.","Enhanced secure access to diverse health datasets, streamlined discovery process for researchers, informed understanding of COVID‚ 19 impacts on healthcare through data analysis, and strengthened digital delivery capabilities for the alliance.",[https://ibmgbs.loopio.com/library?entry=4644245]
4644247.md,Nationwide Building Society Multi‚ Channel Development Centre,Nationwide Building Society,"Banking, Financial Services",,"Nationwide Building Society wanted a dynamic, scalable and customer‚ centric development model to extend its multi‚ channel strategy, optimising customer‚ facing products. We helped Nationwide establish the Multi‚ Channel Development Centre (MCDC), which is designed to accelerate the companys transformation agenda by providing innovative, multi‚ channel products and services. Based on a ‚Äúsoftware factory‚Äù concept that industrialises application development and maintenance processes, the MCDC helps Nationwide ensure repeatable, predictable, high‚ quality services through an agile ""one‚ team"" culture. The MCDC has successfully built digital services from Discovery through Alpha, Beta and Live deployment for its core banking and internet banking services.","[Accelerated transformation agenda, Delivered innovative multi‚ channel products and services, Achieved repeatable, predictable, high‚ quality services via an agile one‚ team culture]",[https://ibmgbs.loopio.com/library?entry=4644247]
4644248.md,Immigration and Asylum Biometrics Service (IABS),Home Office,"Public Sector, Government",,"The project involved delivering and operating the Immigration and Asylum Biometrics Service (IABS), a highly available, secure system for the Home Office. Multiple teams (~50 FTE in application development, 45 FTE in platform development, 40+ FTE in testing) worked on architecture, data algorithms, and risk assessment models to ingest high volumes of biometric data from over 170 airlines and assess more than 300 million passenger movements per year.","[High data ingest success rates, High accuracy risk assessments for passenger movements]",[https://ibmgbs.loopio.com/library?entry=4644248]
4644249.md,Immigration Platform Technologies Programme,UK Government,"Public Sector, Government Digital Transformation",,"IBM designed, developed and operated an award‚ winning platform for the UK Immigration Platform Technologies Programme. The platform provides DevOps tooling for automated infrastructure build and maintenance, enabling Agile@scale methodology across multiple projects and suppliers. IBM worked in blended agile teams co‚ located on client sites, collaborating with more than ten different suppliers to deliver new digital services.","[Awarded at the UK IT Industry Awards 2015, Consistently positive customer feedback for collaborative behaviours, Enables automated infrastructure management and supports Agile@scale across multiple projects]",[https://ibmgbs.loopio.com/library?entry=4644249]
4644256.md,,BP,"Energy, Oil & Gas",,"At BP, IBM worked within the existing client team to establish an agile user‚ centric service mindset by adapting and challenging governance and leadership behaviours across the organisation. Our leadership coaches prioritised the actions needing to be done first, whilst agreeing on areas to initially leave as‚ is.  We built diverse, empowered joint teams that partnered with BPs users to quickly create and scale new innovative ideas. Our process built on existing practices, developing product‚ centric approaches within BP by defining business opportunities, prototyping solutions and then scaling using user‚ centric approaches. This process and structure established an innovation pipeline, advancing 100s of ideas.","Established an innovation pipeline that advanced hundreds of ideas; built diverse, empowered joint teams; accelerated creation and scaling of new innovative solutions; adapted governance to support agile delivery.",[https://ibmgbs.loopio.com/library?entry=4644256]
4644257.md,Modernising DWPs Customer Information System,Department for Work and Pensions (DWP),"Government, Public Sector",,"SITUATION: DWP needed to modernise its business‚ critical Customer Information System, within a complex stakeholder environment crossing DWP, Local Authorities and other Departments, including 90,000 users. WORK: Aligned with the GDS Agile approach, we used a scaled‚ Agile framework alongside IBM Design Thinking and DevOps to deliver the remodelled service.","A flagship DWP Agile project, bringing significant productivity savings and developing DWP‚  Agile capability",[https://ibmgbs.loopio.com/library?entry=4644257]
4644258.md,Food Standards Agency Service for Food Business Registrations,Food Standards Agency (in partnership with Scottish Government),"Public Sector, Government Services",Cloud-based benefits solution (generic cloud platform),"IBM built a service to create and manage food business registrations across England, Wales and Northern Ireland, replacing 387 different paper processes from each Local Council. User research was conducted in line with the GDS Service Manual through Discovery, Alpha and Beta phases. UX designs and prototypes based on the research insights were created and tested for the new end‚ to‚ end accessible service. A React front end built with a node.js back end and a custom built npm package for validation accelerated the delivery of this highly successful and scalable service. In partnership with Scottish Government, IBM co‚ created at scale an integrated cloud‚ based benefits solution using Agile scrums, enabling citizens to apply for Low‚ Income Benefits.

The joint delivery team peaked at 6x15 squads, supporting the full delivery life‚ cycle from architecture and analysis to solution development and package configuration, using a scaled Agile process including DevOps and release management.",7 new benefits systems delivered using Scrum and Design Thinking; 85% of claims made using smartphones;  £190m payments completed.,[https://ibmgbs.loopio.com/library?entry=4644258]
